id,created,modified,name,description,source_id,icon,season_number,disc_number,credit_id,embed_id
44,2010-01-24 04:01:47+00,2020-03-29 01:22:13.990767+00,The Barber,"Jerry gets a bad haircut but refuses to change barbers because he is loyal.  Eventually, he is convinced to leave his barber of 12 years for the barber's nephew.  Bad quality doesn't persist in the marketplace;  it is competed away.  Perhaps the answer to bad haircuts is not more regulation, but more competition. ",1,uploads/clip-icons/barber_clip1.jpg,5,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=swoO8IQho"" frameborder=""0"" allowfullscreen></iframe>"
81,2010-01-24 23:13:42+00,2020-03-29 01:15:23.054434+00,The Andrea Doria,Jerry helps Newman deliver eight bags of mail he has stored in Jerry's storage unit to help Newman get a promotion that would move him to Hawaii.  Jerry wants Newman out of his life and is willing to work (and join forces with Newman) to make it happen.,1,uploads/clip-icons/andrea_doria.jpg,8,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=Ys9v4cC5c"" frameborder=""0"" allowfullscreen></iframe>"
13,2010-01-20 03:08:03+00,2020-03-29 01:16:55.261766+00,The Apartment,"George discovers that when he wears a wedding band, women come on to him.  The band signals 1) that you are not gay, and 2) that you are of marriageable quality.   A girl discusses the signal with George; she uses the ring as a screening device.",1,uploads/clip-icons/apartment_clip2.jpg,2,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=7cc5RP4eJ"" frameborder=""0"" allowfullscreen></iframe>"
23,2010-01-20 03:38:59+00,2020-03-29 01:18:37.720362+00,The Alternate Side,"Jerry's car is stolen, so he rents a car.  The rental company doesn't give him the car he reserved; he gets a small economy car.  They ask if he wants insurance, and he replies, “Yes, because I'm going to beat the hell out of this car.” ",1,uploads/clip-icons/alternate_side.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=MaDnaSxmD"" frameborder=""0"" allowfullscreen></iframe>"
12,2010-01-19 19:52:07+00,2020-03-29 01:19:38.836231+00,The Apartment,"Jerry lives in a rent controlled building.  The only time an apartment opens up is when Mrs. Hudwalker dies, because rent controls create immobility.  Elaine and Jerry find out about the opening, and because Elaine happens to be first in line, she gets it for $400 per month. Subsequently, Jerry gets worried about having Elaine living so close, and tells Elaine that she can't have the apartment--the super was offered a $5,000 bribe.",1,uploads/clip-icons/apartment_clip1.jpg,2,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=EjWSJrtZC"" frameborder=""0"" allowfullscreen></iframe>"
7,2010-01-19 06:36:55+00,2020-03-29 01:20:58.139813+00,The Baby Shower,Jerry does a cost -benefit analysis of installing illegal cable.  He decides to commit the crime when he finds out there will be 75 televised Mets games on TV.,1,uploads/clip-icons/baby_shower.jpg,2,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=EQ0MQxQX0"" frameborder=""0"" allowfullscreen></iframe>"
45,2010-01-24 04:04:02+00,2020-03-29 01:21:37.435078+00,The Barber,"George thinks he has been offered a job, but the man offering it to him got interrupted in the middle of the offer, and will be on vacation for the next week.  George, unsure whether an offer has actually been extended, decides that his best strategy is to show up.  If the job was indeed his, this is the right move.  But even if the job is not, he believes that the benefits outweigh the costs. ",1,uploads/clip-icons/barber_clip2.jpg,5,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=a8BsRGBYA"" frameborder=""0"" allowfullscreen></iframe>"
20,2010-01-20 03:29:27+00,2020-03-29 01:31:01.995319+00,The Cafe,"During comedy sketch at beginning of episode, Jerry talks about “Bermuda Triangle” locations where no business can survive.",1,uploads/clip-icons/cafe_clip1.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=sSATSaLeU"" frameborder=""0"" allowfullscreen></iframe>"
21,2010-01-20 03:33:03+00,2020-03-29 01:31:12.532253+00,The Cafe,Jerry convinces Babu to serve Pakistani food—he'll be the only Pakistani restaurant in the neighborhood.   Babu tells Jerry that the restaurant is failing and that Jerry is a very bad man.  Babu's restaurant then closes.  Jerry blames it on a bad location. ,1,uploads/clip-icons/cafe_clip2.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=4JGfLjALb"" frameborder=""0"" allowfullscreen></iframe>"
76,2010-01-24 06:21:45+00,2020-03-29 01:27:00.092528+00,The Bottle Deposit,"Kramer and Newman hatch a scheme to arbitrage bottles from  NY, where the deposit is 5 cents, to Michigan, where the deposit is 10 cents.  They can't figure out how to make the costs work; gas is too expensive (variable costs), and there's too much overhead (fixed costs of tolls, permits, etc.) with using a semi to haul the bottles in volume.  Finally, they hatch a scheme to use a mail truck, which lowers their variable and fixed costs to zero.  ",1,uploads/clip-icons/bottle_deposit.jpg,7,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=fbnBaIqMi"" frameborder=""0"" allowfullscreen></iframe>"
43,2010-01-24 03:58:40+00,2020-03-29 01:27:46.256745+00,The Bris,"In comedy clip at end of episode, Jerry says that the amazing thing is that “for every job, no matter how objectionable, there is someone there to do it.”  Properly functioning markets ensure that all jobs get filled;  often to do this certain jobs require an additional premium to compensate for risk or other unpleasant dimensions of the job.",1,uploads/clip-icons/bris.jpg,5,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=dTwhqTqxT"" frameborder=""0"" allowfullscreen></iframe>"
75,2010-01-24 06:17:16+00,2020-03-29 01:31:41.266675+00,The Calzone,"George puts a dollar in the tip jar at the pizzeria, but the counterman's head was turned and he didn't see it.  George laments that it cost him a dollar, but he got no credit for it.  His altruism is not pure—he gets utility not from giving, but from getting credit for giving.  ",1,uploads/clip-icons/calzone.jpg,7,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=3seHSCE3r"" frameborder=""0"" allowfullscreen></iframe>"
55,2010-01-24 04:43:37+00,2020-03-29 01:32:55.335889+00,The Chaperone,"Jerry is dating a Miss America contestant, and Kramer appoints himself her chaperone.  While at dinner, Kramer asks what she would do to make the world a better place.  She says that she would try to end world hunger.  “If everyone ate one meal less, there would be enough food to feed the world.”  Jerry says that's one “helluva plan.”  This is an example of unsound economic reasoning:  the misconception that for others to have more, we must take less. ",1,uploads/clip-icons/chaperone.jpg,6,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=cqqqjZ5d9"" frameborder=""0"" allowfullscreen></iframe>"
58,2010-01-24 05:12:51+00,2020-03-29 01:41:20.371396+00,The Chinese Woman,Comedy clip at beginning puzzles about why the Chinese use chopsticks.  The idea hasn't hit them yet that the spoon might be a superior tool.,1,uploads/clip-icons/chinese_woman.jpg,6,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=QL2jrcImo"" frameborder=""0"" allowfullscreen></iframe>"
9,2010-01-19 06:40:10+00,2020-03-29 01:39:38.460004+00,The Chinese Restaurant,Jerry lies to his uncle and says he can't go to dinner with him.  “Did I do a bad thing by lying to my uncle and saying I couldn't go to dinner?  Plan Nine from Outer Space – one night only! C'mon!”,1,uploads/clip-icons/chinese_restaurant_clip1.jpg,2,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=H0lxe5DWi"" frameborder=""0"" allowfullscreen></iframe>"
10,2010-01-19 06:41:56+00,2020-03-29 01:39:45.30578+00,The Chinese Restaurant,Jerry and his friends go to a restaurant but must stand in line and wait for a table.  He ultimately is willing to pay to get a table.,1,uploads/clip-icons/chinese_restaurant_clip2___.jpg,2,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=rswfLvp8O"" frameborder=""0"" allowfullscreen></iframe>"
11,2010-01-19 06:42:55+00,2020-03-29 01:40:31.53195+00,The Chinese Restaurant,"Elaine wonders why the restaurant uses a “first come, first served” allocation.  She suggests that people should be seated based on hunger level.",1,uploads/clip-icons/chinese_restaurant_clip2_.jpg,2,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=809fkpX8T"" frameborder=""0"" allowfullscreen></iframe>"
31,2010-01-24 03:21:25+00,2020-03-29 01:35:44.974764+00,The Cheever Letters,"Kramer receives a bunch of cuban cigars from George;  he trades them to a golf pro for access to a very nice course.  When the cigars are lost in a fire, Kramer goes to the Cuban embassy, where he finds that they are illegal.  But the Cuban diplomats are willing to trade some cigars for Kramer's favorite jacket...and for access to the nice golf course.  ",1,uploads/clip-icons/cheever_letters_clip2.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=kEGxx2F2q"" frameborder=""0"" allowfullscreen></iframe>"
32,2010-01-24 03:24:13+00,2020-03-29 01:35:56.250767+00,The Cheever Letters,"Kramer has been playing on a private golf course, but has lost his access.  He gives an impassioned speech about what it's like to play on a public course—the crowds, the brown patches of grass, etc.",1,uploads/clip-icons/cheever_letters_clip3.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=IES5QN42M"" frameborder=""0"" allowfullscreen></iframe>"
30,2010-01-24 03:16:36+00,2020-03-29 01:36:28.65827+00,The Cheever Letters,"Kramer burns down the cabin of George's new girlfriend, with cigars her father had given him, and which George had passed on to Kramer.",1,uploads/clip-icons/cheever_letters_clip1.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=WMfLp9E9M"" frameborder=""0"" allowfullscreen></iframe>"
84,2010-01-25 00:17:06+00,2020-03-29 01:37:24.231742+00,The Chicken Roaster,"A Kenny Rogers Roaster restaurant opens across the street from Kramer.  He can't stand the red glare from Kenny's neon sign, and moves into Jerry's apartment.  But he becomes hooked on Kenny's chicken, and eventually accepts the red glare in exchange for access to the chicken.  When Kenny's shuts down, the lights go out, and Kramer's overall welfare falls—the benefits of the chicken outweighed the cost of the glare.",1,uploads/clip-icons/chicken_roaster.jpg,8,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=0xtTO4JkK"" frameborder=""0"" allowfullscreen></iframe>"
64,2010-01-24 05:39:10+00,2020-03-29 02:15:47.80034+00,The Engagement,"Elaine's neighbor's dog keep Elaine awake at night barking.  She, Kramer, and Newman devise a scheme to kidnap the dog and move it to the country so it no longer bothers her.",1,uploads/clip-icons/engagement.jpg,7,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=BRksgiGzL"" frameborder=""0"" allowfullscreen></iframe>"
90,2010-01-25 00:31:54+00,2020-03-29 02:16:25.570059+00,The Finale,"Kramer, George, Jerry, and Elaine sit by and watch while a man is carjacked.  They are arrested for not acting under the town's new Good Samaritan law.  The law is designed to overcome individuals' incentive not to come to others' rescue;  we can think of this as a law that changes payoffs in a game matrix.",1,uploads/clip-icons/finale.jpg,9,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=R2AsfRYRk"" frameborder=""0"" allowfullscreen></iframe>"
79,2010-01-24 22:55:18+00,2020-03-29 02:33:17.891829+00,The Foundation,"Kramer brags to Jerry that he's taken up Karate and is dominating his dojo.  Jerry discovers that Kramer is in a class of 6-year-old children.  Kramer beats up on all of the kids, but at the end of the episode they decide to stop competing with one another and band together to form a force capable of dominating Kramer.",1,uploads/clip-icons/foundation_clip2.jpg,8,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=ojMTHWqif"" frameborder=""0"" allowfullscreen></iframe>"
78,2010-01-24 22:47:58+00,2020-03-29 02:34:40.677988+00,The Foundation,"Kramer brags to Jerry that he's taken up Karate and is dominating his dojo.  Jerry discovers that Kramer is in a class of 6-year-old children.  This illustrates the idea that sometimes size and scale are important. If you're the biggest kid on the block, you might have a competitive advantage.  ",1,uploads/clip-icons/foundation_clip1.jpg,8,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=i01a6zJ7C"" frameborder=""0"" allowfullscreen></iframe>"
34,2010-01-24 03:29:30+00,2020-03-29 01:42:01.654297+00,The Contest,"George, Jerry, Elaine, and Kramer have a contest to see who can refrain from an unnamed activity the longest.  Each posts a bond that they will lose if they are among the first three to indulge.  Kramer makes it about 12 minutes.  Elaine makes it a day or two.",1,uploads/clip-icons/contest.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=whXyEywge"" frameborder=""0"" allowfullscreen></iframe>"
59,2010-01-24 05:14:59+00,2020-03-29 01:42:34.022235+00,The Couch,"When George joins a book club to impress a girl and then finds the reading too costly, his demand for a substitute good (the video of the novel) rises to ridiculous proportions. In the end, he finds that the movie and the book are imperfect substitutes.   ",1,uploads/clip-icons/couch.jpg,6,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=VKVJMEMOG"" frameborder=""0"" allowfullscreen></iframe>"
16,2010-01-20 03:16:42+00,2020-03-29 02:14:29.92954+00,The Deal,"Jerry gives Elaine cash for her birthday, thinking she can spend it on whatever she likes best.  But Elaine is mortified;  she wanted a thoughtful gift that signaled Jerry had put great thought into his gift.  Kramer enters and does just that—gives Elaine a thoughtful gift.",1,uploads/clip-icons/deal_clip2.jpg,2,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=RpLUdp3wL"" frameborder=""0"" allowfullscreen></iframe>"
15,2010-01-20 03:14:03+00,2020-03-29 02:15:11.79069+00,The Deal,"Jerry and Elaine are contemplating having sex.  “We can have this...or we can have that."" But clearly, they can't have them both, though they try.  Later, in the coffee shop, George chastises Jerry for trying to have them both. ",1,uploads/clip-icons/deal_clip1.jpg,2,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=64JcvnT0B"" frameborder=""0"" allowfullscreen></iframe>"
77,2010-01-24 06:24:58+00,2020-03-29 02:42:43.491123+00,The Invitations,"George is anxious to get out of his impending marriage to Susan.  Kramer suggests that he ask for a prenuptial agreement, knowing it will signal Susan that George isn't committed to the idea of marriage and pushing her to back out.  But in order for George's action to be credible, going without a prenup must cost him something.  Susan knows this and willingly signs, saying, “Prenup?  I make more money than you do!  Sure, I'll sign!”  ",1,uploads/clip-icons/invitations.jpg,7,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=AAdDjyMI5"" frameborder=""0"" allowfullscreen></iframe>"
8,2010-01-19 06:38:46+00,2020-03-29 02:44:13.955762+00,The Jacket,"Jerry springs for a very expensive suede jacket.  Everyone asks what it costs, and gasps when the price is revealed.",1,uploads/clip-icons/jacket.jpg,2,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=cp6iZmBMZ"" frameborder=""0"" allowfullscreen></iframe>"
62,2010-01-24 05:28:03+00,2020-03-29 02:36:16.821919+00,The Fusilli Jerry,"Elaine's new boyfriend, Jerry's mechanic David, has stolen a bedroom move from Jerry.  Jerry wants him to stop using it, but Elaine wants to continue to enjoy it.  In the end, Jerry ends up “selling” the property right for a cheaper bill for car repair. ",1,uploads/clip-icons/fusilli_jerry_clip1.jpg,6,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=s7aGktTOV"" frameborder=""0"" allowfullscreen></iframe>"
63,2010-01-24 05:30:22+00,2020-03-29 02:37:24.415727+00,The Fusilli Jerry,"Jerry's car is broken and he takes it to a new mechanic.  The new mechanic gives an estimate that Jerry believes is too high.  George says, “Of course they're trying to screw you—that's what they do.  It's because you don't know anything about what's going on under there!” George also says that Putty, Jerry's regular mechanic, wouldn't try to screw him.  Reputation for honesty can overcome moral hazard problems. ",1,uploads/clip-icons/fusilli_jerry_clip2.jpg,6,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=I4GRNwsxC"" frameborder=""0"" allowfullscreen></iframe>"
42,2010-01-24 03:54:16+00,2020-03-29 02:39:39.670512+00,The Glasses,"Jerry is getting a new air conditioning unit.  Elaine asks why, because he's never wanted air conditioning before.  But Jerry's new girlfriend feels more comfortable in with air conditioning, so Jerry is getting one—his demand has increased.  ",1,uploads/clip-icons/glasses.jpg,5,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=26n9FlEfV"" frameborder=""0"" allowfullscreen></iframe>"
26,2010-01-20 04:09:36+00,2020-03-29 02:40:46.475654+00,The Good Samaritan,Mary Hart's voice causes Kramer to go into seizures.,1,uploads/clip-icons/good_samaritan.jpg,3,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=NLtrouJeh"" frameborder=""0"" allowfullscreen></iframe>"
53,2010-01-24 04:34:14+00,2020-03-29 02:41:31.037762+00,The Hamptons,"Kramer, at the beach in the Hamptons with friends, finds a rope dangling into the water and pulls up a pot full of lobsters.  He serves them for dinner that night, and his host says that he's poached them from a commercial lobsterman.  Kramer says, “What's the problem? There's plenty for everyone.”  This highlights the wedge between individual incentives and optimal social outcomes. ",1,uploads/clip-icons/hamptons.jpg,5,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=KHcX6Ey6I"" frameborder=""0"" allowfullscreen></iframe>"
50,2010-01-24 04:26:04+00,2020-03-29 02:58:05.390729+00,The Marine Biologist,"Kramer gives Elaine a new electronic organizer, which through a series of unfortunate events, gets lost.  She goes to Kramer bemoaning the fact that she had put everything in the organizer, and had thrown away her paper organizer.  If she hadn't put all of her eggs in one basket (her events in one organizer), she could have reduced her exposure to risk.",1,uploads/clip-icons/marine_biologist_clip3.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eGaNnXoFS"" frameborder=""0"" allowfullscreen></iframe>"
82,2010-01-25 00:05:37+00,2020-03-29 02:49:14.622156+00,The Little Jerry,Jerry bounces a check at the local bodega and offers to pay to get the bodega's owner to take it down off the wall.,1,uploads/clip-icons/litle_jerry.jpg,8,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=fnJF5IIav"" frameborder=""0"" allowfullscreen></iframe>"
4,2010-01-19 06:30:25+00,2020-03-29 03:23:50.510955+00,The Robbery,Jerry and George play odds-evens for a nice apartment.,1,uploads/clip-icons/robbery2.jpg,1,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=mIT3lAp5x"" frameborder=""0"" allowfullscreen></iframe>"
48,2010-01-24 04:19:38+00,2020-03-29 02:57:08.992487+00,The Marine Biologist,"Jerry is showing Elaine a T-shirt he's had for six years that he calls “Golden Boy.”  It's his go-to shirt, it's always first out of the dryer, and it he wears it for playing every game.  Yet Golden Boy is wearing out and fraying at the collar.  Elaine responds that she has to go meet a famous author, and Jerry replies “You want to wear Golden Boy?” (making the t-shirt look more like a tool than a consumer good).  At the end of the show, Golden Boy is gone, having died in the dryer.  But Jerry replaced his capital with a new shirt, “Baby Blue.” ",1,uploads/clip-icons/marine_biologist_clip1.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eDD6FqE0s"" frameborder=""0"" allowfullscreen></iframe>"
27,2010-01-20 04:12:14+00,2020-03-29 02:45:39.265429+00,The Keys,"Becoming annoyed at Kramer's invasions of privacy, Jerry takes away his spare key. Kramer tells George about how everything was so good at Jerry's.  He gives George the “I yearn” speech, illustrating that human tendency is desire, and that desire is inescapable.  ",1,uploads/clip-icons/keys.jpg,3,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=uGZSrSnTv"" frameborder=""0"" allowfullscreen></iframe>"
61,2010-01-24 05:23:21+00,2020-03-29 02:46:56.093531+00,The Kiss Hello,"Fifty-three years ago, Jerry's Uncle Leo stiffed Jerry's mother out of $50.  Eager to get it back, Jerry's father says, “Do you know what that's worth today in interest alone? $663.45, figured at a conservative 5% interest, compounded quarterly.”  Morty's calculations are almost accurate, though he does not compound quarterly, and his sum includes the principle, not just the interest. ",1,uploads/clip-icons/kiss_hello.jpg,6,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=ZKC8mxA8d"" frameborder=""0"" allowfullscreen></iframe>"
66,2010-01-24 05:44:00+00,2020-03-29 02:50:09.98757+00,The Maestro,"Kramer has sneaked coffee into a theater, where he spills it on himself.  While consulting with his lawyer, Jackie Chiles, they discuss the theater's monopoly on concessions. (This is a great place to discuss David Friedman's and Steven Landsburg's take on why movie theater popcorn is so expensive.) ",1,uploads/clip-icons/maestro.jpg,7,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=zBZECEAhh"" frameborder=""0"" allowfullscreen></iframe>"
37,2010-01-24 03:39:44+00,2020-03-29 02:51:43.865325+00,The Mango,"Opening comedy clip talks about how some scientists are busy curing cancer, but others have seen fit to develop the seedless watermelon.  Jerry sarcastically refers to the tremendous benefit conferred on consumers because of this.  So why do some scientists do things like this?  Because it's what consumers want!",1,uploads/clip-icons/mango.jpg,5,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=rV5uDhOkZ"" frameborder=""0"" allowfullscreen></iframe>"
49,2010-01-24 04:22:48+00,2020-03-29 02:56:59.152207+00,The Marine Biologist,"Kramer gives Elaine an organizer that he got at the bank when he opened a new account;  Jerry proudly shows off a tape recorder that he got at a different bank.  In the days before bank deregulation, interest rates were administered:  0% on checking accounts, 5.25% on savings accounts.  With market interest rates higher than these, there was no way for banks to compete for funds except to offer additional perks like toasters, tape recorders, and organizers. ",1,uploads/clip-icons/marine_biologist_clip2.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=9EeJbrZ2r"" frameborder=""0"" allowfullscreen></iframe>"
46,2010-01-24 04:11:49+00,2020-03-29 03:01:57.202927+00,The Non-Fat Yogurt,"Kramer has invested in a fat-free yogurt shop, but Jerry and Elaine begin to gain weight after indulging in it.  ",1,uploads/clip-icons/nonfat_yogurt.jpg,5,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=XCqudrGQc"" frameborder=""0"" allowfullscreen></iframe>"
22,2010-01-20 03:36:36+00,2020-03-29 03:03:23.844103+00,The Nose Job,"Jerry fights an inner war over a woman he hates, but who gives him great sex.  In an attempt to break himself of her, Jerry has Kramer tear up her phone number. ",1,uploads/clip-icons/nose_job.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=mbWVWuy0F"" frameborder=""0"" allowfullscreen></iframe>"
18,2010-01-20 03:24:06+00,2020-03-29 03:04:09.931738+00,The Note,"George gets a massage from a man and feels “it” move.  Jerry asks him whether it was a “movement” of a “shift,” as these are different.  This scene can be compared to movements along versus shifts in demand and supply curves.",1,uploads/clip-icons/note.jpg,3,1,3,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=NE6wgzJCy"" frameborder=""0"" allowfullscreen></iframe>"
35,2010-01-24 03:32:18+00,2020-03-29 03:05:04.871577+00,The Old Man,"Kramer and Newman try to sell used records to a dealer who is buying them.  He offers what they believe to be an insulting offer.  This shows that value is determined by both scarcity and desire;  without demand, even a rare commodity has no value. ",1,uploads/clip-icons/old_man.jpg,4,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=FoELk2Drm"" frameborder=""0"" allowfullscreen></iframe>"
86,2010-01-25 00:21:57+00,2020-03-29 03:00:06.204293+00,The Muffin Tops,"Elaine and her old boss find that selling just the tops of muffins is more profitable than selling the whole muffin (which consists of the top + the stump).  So are the top and the stump complements or substitutes?  Neither--the stumps are an economic bad, which reduce utility.  Evidence for this is found in the fact that homeless people won't eat the stumps that the muffin-top restaurant throws away, unless they come with the tops as compensation. ",1,uploads/clip-icons/muffin_tops_clip1__.jpg,8,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eGaNnXoFS"" frameborder=""0"" allowfullscreen></iframe>"
85,2010-01-25 00:19:06+00,2020-03-29 03:00:42.493435+00,The Muffin Tops,"Elaine comes up with the idea of selling only the top parts of muffins;  within days her old boss has opened a muffin-top store, capitalizing on her idea.  Elaine needs protection for her idea, which is the role of the patent/trademark system.",1,uploads/clip-icons/muffin_tops_clip2__.jpg,8,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=z9lt7hyZy"" frameborder=""0"" allowfullscreen></iframe>"
33,2010-01-24 03:26:12+00,2020-03-29 03:05:57.431899+00,The Opera,George and Kramer try to scalp opera tickets.  George succeeds.,1,uploads/clip-icons/opera.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=FoELk2Drm"" frameborder=""0"" allowfullscreen></iframe>"
